,Retweets,Favorites,Followers,ScreenName,Text
1534,48479,284765,130286525,BarackObama,"During this crisis, our grocery store clerks, delivery drivers, transit and utility workers—along with so many others—have been selflessly getting up every day to make sure we have the things we need. And for that, we say thank you.
https://t.co/Fq5qIRXt03"
6162,62834,212839,130286481,BarackObama,Here’s a useful overview of the likely scenarios that the world will be facing in the coming months while managing this pandemic. So much depends on our ability to make good decisions going forward along with our ability to remain resilient. https://t.co/uYpP1KfOUs
6980,512,4128,109578007,katyperry,"Pre-quarantine ➡️ mid-quarantine 👍🏻♥️ Hope your stay-at-home plans tonight include joining me for a beautiful and breezy episode of #AmericanIdol, taped in heavenly Hawaii back in January and February 🏝 @ Aulani… https://t.co/Sffl1Ka3ju"
2697,2703,15209,67457392,narendramodi,"Based in Pune, Dr. Borse shared his experiences of combating the COVID-19 menace. 

Our doctors are not only curing patients but also playing the role of counsellors, who are keeping the morale of our patients and their families high. #MannKiBaat https://t.co/CkwPSLvAEQ"
2534,3407,18146,67457391,narendramodi,"Practice social distancing, not emotional distancing. 

Do not ostracise those who are in quarantine either due to mandatory reasons or on self-imposed quarantine. 

Through social media or telephone, reach out to friends. Ask about their well-being. #MannKiBaat https://t.co/laNpKP1xNd"
2069,8185,62006,67457390,narendramodi,There is no better deed than serving others. This gesture will help boost research and innovation on ways to fight COVID-19. It will help citizens and make India healthier. #IndiaFightsCorona https://t.co/gAKNMa4qo4
1615,3807,26338,67457390,narendramodi,"Our airport staff has been out there, working round the clock in tough circumstances. I salute their professionalism and their noteworthy gesture of contributing to PM-CARES. #IndiaFightsCorona https://t.co/YWVrOvYQdL"
1218,3025,28812,67457389,narendramodi,Each and every contribution is valued. Thank you Sharad. #IndiaFightsCorona https://t.co/ofzcMQB6IJ
218,4069,30963,67457386,narendramodi,"Thank you, Honourable President. 

Rashtrapati Ji is leading the way and inspiring the nation. #IndiaFightsCorona https://t.co/QCiERMuFBW"
764,10188,46284,67457386,narendramodi,Talking about aspects relating to COVID-19 during #MannKiBaat https://t.co/JJpOShFBpB
7246,2643,15377,67457354,narendramodi,"Several professionals like Dr. Gupta are at the forefront of battling COVID-19. India salutes them for their hardwork and tenacity. 

During today’s #MannKiBaat I spoke to him. This is what he said... https://t.co/tIqmDVhakd"
1335,675,1380,61309569,cnnbrk,President Trump extends federal guidelines for social distancing through April 30 because of the coronavirus outbreak https://t.co/9T3Ixac2Xy https://t.co/KsnkaeanXH
9234,1109,2224,61309562,cnnbrk,"Joe Diffie, a Grammy-winning country singer and 25-year member of the Grand Ole Opry, died from complications of coronavirus, his publishing agency says. He was 61. https://t.co/A5SNVB70dw https://t.co/9K2ymmzBEI"
2655,1201,2401,53666821,CNN,BREAKING: President Trump extends federal guidelines for social distancing through April 30 to help slow the spread of the coronavirus throughout the US https://t.co/2FNsiJzDZA
890,5390,14877,53666816,CNN,"#FareedsTake: “At some point we Americans must look at the facts and recognize an uncomfortable reality. The United States is on track to to have the worst outbreak of coronavirus among wealthy countries, largely because of the ineffectiveness of its government.” https://t.co/AcXZoz8vx2"
1171,1141,5446,53666814,CNN,"""I've asked repeatedly and respectfully for help. We need it. No more political attacks, just PPEs, ventilators, N95 masks, test kits. You said you stand with Michigan — prove it,"" Gov. Gretchen Whitmer tweeted after President Trump lashed out at her. https://t.co/iHvZ0F7vrQ"
12619,372,674,53666806,CNN,"Home is the safest place to be while a pandemic rages outside. But for some, home is not a haven from violence and abuse.  

There are resources for victims of domestic violence at the end of this article. https://t.co/eSoYWnDvE2"
11416,995,2346,53666799,CNN,"Joe Diffie, a Grammy-winning country singer and 25-year member of the Grand Ole Opry, died from complications of coronavirus, his publishing agency says. He was 61. https://t.co/F912hz7a2d"
5969,409,951,53666777,CNN,Apple has released a website and an iOS app that allows users to screen themselves for coronavirus symptoms https://t.co/uLIxGu8uDJ
3053,109,184,53666769,CNN,This jail's temporary solution for coronavirus — a quarantine camp — is unlike anything else seen in the country. https://t.co/QamLst8uDw
1145,759,6632,52911639,shakira,Just a benign ancient philosophy course at @Penn to make the confinement productive. I have to be able to think about other things rather than Paw Patrol!! https://t.co/fyZnw2Iu3J
2396,2511,3910,49900975,nytimes,"As the coronavirus ravages the U.S. health care system, the scarcity of ventilators has been forcing doctors to make life-or-death decisions about who gets to breathe and who does not. Our investigation helps explain the acute shortage of medical devices.
https://t.co/CFv90IO7PI"
460,1479,2631,49900974,nytimes,"Together, the challenges resulted in a lost month, when the U.S. squandered its best chance of containing the coronavirus’s spread. Instead, Americans were left largely blind to the scale of a looming public health catastrophe. https://t.co/xHMISGYOqa"
